Family,Metric,Control_Model,TimeAware_Model,Control_Mean_5Seed,TimeAware_Mean_5Seed,Delta_TimeAware_minus_Control,Bootstrap_95CI_Low,Bootstrap_95CI_High,Bootstrap_p,N_Bootstrap,N_Test,N_Positive,N_Negative,Holm_Adjusted_p,Significant_0.05
BEHRT,AUROC,BEHRT Control,BEHRT Time-Aware,0.6856855124230934,0.6711318468631493,-0.014553665559944085,-0.043773386728769015,0.015555105348460429,0.3638180909545227,2000,1337,103,1234,1.0,False
BEHRT,AUPRC,BEHRT Control,BEHRT Time-Aware,0.13771070182395018,0.13725266037655107,-0.0004580414473991101,-0.020331823814013727,0.017305580166148873,0.9665167416291854,2000,1337,103,1234,1.0,False
Med-BERT,AUROC,Med-BERT Control,Med-BERT Time-Aware,0.7198942581548678,0.7019260121791946,-0.017968245975673258,-0.04599286399899281,0.008620202671869802,0.19890054972513743,2000,1337,103,1234,1.0,False
Med-BERT,AUPRC,Med-BERT Control,Med-BERT Time-Aware,0.1883926284492285,0.1568308941059584,-0.03156173434327009,-0.062086790222675554,-0.007827897432924835,0.0079960019990005,2000,1337,103,1234,0.0879560219890055,False
CEHR-BERT,AUROC,CEHR-BERT Control,CEHR-BERT Time-Aware,0.6879042029236362,0.6719642491856933,-0.01593995373794288,-0.03891752293433631,0.007726550329656287,0.1629185407296352,2000,1337,103,1234,1.0,False
CEHR-BERT,AUPRC,CEHR-BERT Control,CEHR-BERT Time-Aware,0.14890241370402707,0.13214179567679193,-0.016760618027235136,-0.035267026193434414,-0.0018217352740841218,0.029985007496251874,2000,1337,103,1234,0.2698650674662669,False
FT-Transformer,AUROC,FT-Transformer Control,FT-Transformer Time-Aware,0.7089715346729399,0.6862622145992983,-0.02270932007364168,-0.056051675032650856,0.008828834322040372,0.1729135432283858,2000,1337,103,1234,1.0,False
FT-Transformer,AUPRC,FT-Transformer Control,FT-Transformer Time-Aware,0.17879407693126517,0.17634825387219943,-0.002445823059065738,-0.020074510925033633,0.014915334195694616,0.7756121939030485,2000,1337,103,1234,1.0,False
TransTab,AUROC,TransTab Control,TransTab Time-Aware,0.7073201051124294,0.7032603735582446,-0.00405973155418482,-0.028477541659454594,0.019699749020471703,0.7106446776611695,2000,1337,103,1234,1.0,False
TransTab,AUPRC,TransTab Control,TransTab Time-Aware,0.1787390552902371,0.1758782253562862,-0.002860829933950898,-0.017664332025358536,0.010288641153826125,0.6526736631684158,2000,1337,103,1234,1.0,False
BioBERT,AUROC,BioBERT Control,BioBERT Time-Aware,0.732844487104845,0.7283543925351292,-0.004490094569715719,-0.018033567528441506,0.009085380245786805,0.5247376311844077,2000,1337,103,1234,1.0,False
BioBERT,AUPRC,BioBERT Control,BioBERT Time-Aware,0.22149104197829014,0.21341189722175002,-0.008079144756540119,-0.035615662361110134,0.017032889178660776,0.56071964017991,2000,1337,103,1234,1.0,False
ClinicalBERT,AUROC,ClinicalBERT Control,ClinicalBERT Time-Aware,0.7444855313055656,0.7405170650343819,-0.003968466271183746,-0.013799782851567998,0.00523402464162632,0.3918040979510245,2000,1337,103,1234,1.0,False
ClinicalBERT,AUPRC,ClinicalBERT Control,ClinicalBERT Time-Aware,0.25435007210447497,0.23199303931641002,-0.022357032788064946,-0.04116740377240872,-0.0025371367309132316,0.025987006496751622,2000,1337,103,1234,0.25987006496751625,False
Clinical Longformer,AUROC,Clinical Longformer Control,Clinical Longformer Time-Aware,0.7368475712419946,0.7309153278469261,-0.005932243395068482,-0.020952896099195907,0.00892220421393861,0.4687656171914043,2000,1337,103,1234,1.0,False
Clinical Longformer,AUPRC,Clinical Longformer Control,Clinical Longformer Time-Aware,0.21753009721259348,0.22031370032424263,0.0027836031116491577,-0.018684138388749577,0.021517207839366767,0.8505747126436781,2000,1337,103,1234,1.0,False
LSTM,AUROC,LSTM Control,LSTM Time-Aware,0.6883133231577789,0.6727400040912024,-0.015573319066576552,-0.037265070573240314,0.005799712042296972,0.16991504247876063,2000,1337,103,1234,1.0,False
LSTM,AUPRC,LSTM Control,LSTM Time-Aware,0.1627656450659755,0.15960053884496203,-0.0031651062210134584,-0.020607191683398817,0.015129491585965691,0.7746126936531734,2000,1337,103,1234,1.0,False
GRU,AUROC,GRU Control,GRU Time-Aware,0.6737533634403865,0.6583421189281049,-0.015411244512281597,-0.034393321898947324,0.002820254598668667,0.09095452273863068,2000,1337,103,1234,1.0,False
GRU,AUPRC,GRU Control,GRU Time-Aware,0.16105340386251332,0.17141107522747787,0.010357671364964544,-0.00916341622265056,0.025099145828524072,0.3448275862068966,2000,1337,103,1234,1.0,False
Llama 3.2 3B LoRA,AUROC,Llama 3.2 3B LoRA Control,Llama 3.2 3B LoRA Time-Aware,0.7418081540809743,0.7370466239712987,-0.004761530109675616,-0.01908703246211701,0.009272120029582467,0.495752123938031,2000,1337,103,1234,1.0,False
Llama 3.2 3B LoRA,AUPRC,Llama 3.2 3B LoRA Control,Llama 3.2 3B LoRA Time-Aware,0.23399535619766723,0.22372944540903764,-0.010265910788629595,-0.029391754274383633,0.00980903836193857,0.3248375812093953,2000,1337,103,1234,1.0,False
